CUST_Type,CUST_Name,phoneNumber,address,district,longitude,latitude
Mainstream,LOME SPOT(A3),244470385,Somanya,South,0.09270,6.23685
Low End,Joint 87,244806522,Somanya,South,0.09247,6.23599
Mainstream,SAJUNA(C3),553571588,Somanya,South,0.08844,6.22002
Wholesaler,LOUISA ENT.(A3),245738972,Somanya,South,0.07895,6.20350
Low End,COWBELL SPOT(A3),208139115,Somanya,South,0.07918,6.20333
Wholesaler,TOP KINGS(A2),243526048,Somanya,South,0.078697,6.20289
Mainstream,OASIS(B3),242775842,Somanya,South,0.12810,6.10130
Low End,I AM FOR PEACE ENT,504188676,Accra,South,0.12512,6.09878
Low End,ZOLA'S PUB(B3),244795028,Somanya,South,0.12419,6.09781
Mainstream,AKUSE CLUBHOUSE(B3),246226005,Somanya,South,0.11415,6.09223
Mainstream,SUMMERSPING RESTAURANT(C3,244893525,Somanya,South,0.10095,6.09427
Low End,NIM TREE SPOT(C3),541349511,Somanya,South,0.06373,6.16031
Mainstream,Accra Spot Akosombo -Akos,208393885,Kumasi,North,-1.67618,6.93999
Low End,AKRA SPOT(B3),246553665,Somanya,South,0.04382,6.26887
Wholesaler,INDYSAM ENT.(A3),205168443,Somanya,South,0.04382,6.26887
Low End,Lavish Spot,246557636,Ghana,South,-0.2144603,5.566752
Low End,Cassanova,247573007,Ghana,South,0.0462495,6.2683935
Low End,HOLLYWOOD CAFE(C3),246173120,Somanya,South,0.04624,6.26839
Mainstream,Liberty Spot Juapong,245766172,Accra,South,0.05089,6.27104
Low End,Paradise  Spot,243279562,Somanya,South,0.05160,6.27098
Mainstream,Stejoy Restaurant,248392181,Accra,South,0.05395,6.27151
Low End,Classic Restaurant,243544687,Ghana,South,0.05391,6.27158
Low End,top choice,541467684,Accra,South,0.04382,6.26887
Low End,Top Choice,202094599,Ghana,South,0.05021,6.27378
Mainstream,AFRIKIKO HOTEL(B3),244387763,Somanya,South,0.076504,6.268995
Low End,Afrikiko Hotel,243550402,Ghana,South,0.076,6.2685
Mainstream,Top Choice Annex,244598423,Wa,North,-2.88355,10.64172
Mainstream,TOP CHOICE ANNEX(C3),246847845,Somanya,South,0.07666,6.26390
Wholesaler,GOD FIRST(A3),244507531,Somanya,South,0.0803321,6.255663
Low End,AUNTIE ROSINA(C3),244368930,Somanya,South,0.08089,6.25433
Mainstream,AYLOS BAY(C3),243374443,Somanya,South,0.09248,6.24419
Mainstream,CONTINENTAL HOTEL(C1),543292768,Somanya,South,0.09272,6.24256
Mainstream,Adomi bridge gardens,203468104,Somanya,South,0.09268,6.23954
Mainstream,ADOMI HOTEL BAR(C3),543559247,Somanya,South,0.0925713,6.2393084
Mainstream,39 STEPS(C1),543559247,Somanya,South,0.09291,6.23790
Low End,Ntoboasi Spot - Atimpoku,244059403,Ghana,South,0.09289,6.23785
Low End,YESU MO SPOT...(B3),249258345,Somanya,South,0.09282,6.23778
Mainstream,NTOBOASE SPOT(C3),243558305,Somanya,South,0.09286,6.23775
Low End,39 Step - Atimpoku,205578645,Ghana,South,0.09283,6.23755
Mainstream,FIRST BELL SPOT(C3),244368930,Somanya,South,0.09260,6.23709
Low End,First bell- Atimpoku,501482141,Ghana,South,0.09263,6.23702
